CNPJ;Razão Social;Nome Fantasia;Natureza Jurídica;Capital Social;Data de Abertura;Idade da Empresa;Cidade;Estado;CEP;Porte;Atividade Principal;Flag_CNEP;Flag_CEIS
3065240003-77;LEISTUNG COMERCIO E SERVICOS DE SISTEMAS DE ENERGIA LTDA.;Leistung;Sociedade Empresária Limitada;12300000;29/01/2013;120;Brasília;DF;703305200;Demais;"Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças";0;0
11812420002-72;COMPWIRE INFORMATICA LTDA;Compwire Informatica Florianopolis;Sociedade Empresária Limitada;91000000;21/03/2012;130;Florianópolis;SC;880360150;Demais;Consultoria em tecnologia da informação;0;0
15907280002-64;MICROTECNICA INFORMATICA LTDA;Microtecnica;Sociedade Empresária Limitada;62300000;31/08/2005;200;Brasília;DF;706321000;Demais;Suporte técnico, manutenção e outros serviços em tecnologia da informação;0;0
15907280009-30;MICROTECNICA INFORMATICA LTDA;;Sociedade Empresária Limitada;62300000;28/07/2021;40;Cariacica;ES;291567770;Demais;Comércio atacadista de equipamentos de informática;0;1
16447310001-32;CTIS TECNOLOGIA LTDA;;Sociedade Empresária Limitada;5457974010;30/05/1986;390;Brasília;DF;703339000;Demais;Desenvolvimento de programas de computador sob encomenda;0;0
16457380001-79;INDRA BRASIL SOLUCOES E SERVICOS TECNOLOGICOS LTDA;Indra;Sociedade Empresária Limitada;1,51039E+11;24/01/1973;520;São Paulo;SP;58049000;Demais;Desenvolvimento de programas de computador sob encomenda;0;0
17075360001-04;ISH TECNOLOGIA S/A;Ish Tecnologia;Sociedade Anônima Fechada;1190000000;23/02/1997;280;Vitória;ES;290503600;Demais;Suporte técnico, manutenção e outros serviços em tecnologia da informação;0;0
19193160001-44;OGASEC CONSULTORIA E INFORMATICA LTDA;Ogasec Cyber Security;Sociedade Empresária Limitada;201380010;24/06/1997;280;Brasília;DF;703409080;Demais;Desenvolvimento e licenciamento de programas de computador customizáveis;0;0
19360690010-85;DIGISYSTEM SERVICOS ESPECIALIZADOS LTDA;Digisystem;Sociedade Empresária Limitada;20000000;14/04/2021;40;Brasília;DF;707010000;Demais;Desenvolvimento de programas de computador sob encomenda;0;0
22133250005-01;PLUGNET COMERCIO E REPRESENTACOES LTDA.;Plugnet Informatica;Sociedade Empresária Limitada;20000000;15/06/2021;40;Serra;ES;291612300;Demais;Comércio atacadista de equipamentos de informática;0;0
