Órgão,Unidade Gestora,Número Contrato,Fornecedor,Vig. Início,Vig. Fim,Valor Global,Núm. Parcelas,Valor Parcela,ministerio
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130025 - SFA/PE/MAPA,00003/2019,64.799.539/0001-35 - TECNOSET INFORMATICA PRODUTOS E SERVICOS LTDA,07/05/2019,06/05/2023,"R$ 62.015,76",12,"R$ 5.167,98",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130025 - SFA/PE/MAPA,00006/2023,07.759.174/0001-81 - SOLUCOES  SERVICOS DE LOCACAO DE MAQUINAS E EQUIPAMENTOS PARA ESCRITORIO LTDA,01/06/2023,31/05/2025,"R$ 102.850,00",12,"R$ 8.570,83",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130067 - SFA/SP/MAPA,00006/2023,07.432.517/0001-07 - SIMPRESS COMERCIO LOCACAO E SERVICOS LTDA,01/04/2023,01/04/2027,"R$ 720.238,67",48,"R$ 15.004,97",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130069 - SFA/MA/MAPA,00004/2022,08.951.049/0001-31 - CORESMA - COMERCIO DE EQUIPAMENTOS E SUPRIMENTOS LTDA,23/09/2022,22/09/2025,"R$ 58.860,00",12,"R$ 4.905,00",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130094 - SFA/PA/MAPA,00002/2023,03.117.534/0001-90 - BRADOK SOLUCOES CORPORATIVAS LTDA,21/11/2023,20/11/2027,"R$ 129.484,80",12,"R$ 10.790,40",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130100 - SFA/AP/MAPA,00002/2022,34.941.930/0001-61 - DIGIMAQ INFORMATICA LTDA,04/08/2022,04/08/2025,"R$ 36.739,20",12,"R$ 3.061,60",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130005 - CGOEF/DA/SE/MAPA,00030/2025,52.997.838/0001-03 - 52.997.838 IDES DE MORAIS FERNANDES,05/05/2025,05/05/2026,"R$ 17.853,00",1,"R$ 17.853,00",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130005 - CGOEF/DA/SE/MAPA,00009/2023,15.330.687/0001-09 - ATOM TECNOLOGIA EM INFORMACAO LTDA,01/07/2023,01/07/2026,"R$ 256.611,00",1,"R$ 256.611,00",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130005 - CGOEF/DA/SE/MAPA,00003/2024,59.456.277/0003-38 - ORACLE DO BRASIL SISTEMAS LTDA,24/01/2024,24/01/2026,"R$ 5.842.032,72",1,"R$ 5.842.032,72",Consulta Contratos Contratos.gov.br Min Agricultura 22000
22000 - MINISTERIO DA AGRICULTURA E PECUARIA,130005 - CGOEF/DA/SE/MAPA,00003/2023,40.432.544/0001-47 - CLARO S.A.,27/02/2023,27/08/2025,"R$ 12.032.104,50",30,"R$ 401.070,15",Consulta Contratos Contratos.gov.br Min Agricultura 22000
